employee_index,turnover_probability,risk_zone,actual_left
9647,0.12,Safe,0
8775,0.0,Safe,0
4878,0.03,Safe,0
11732,0.02,Safe,0
2441,0.14,Safe,0
14896,1.0,High-Risk,1
7000,0.0,Safe,0
14900,1.0,High-Risk,1
12683,0.78,Medium-Risk,1
6327,0.0,Safe,0
3136,0.0,Safe,0
1534,0.99,High-Risk,1
10614,0.0,Safe,0
5555,0.03,Safe,0
8870,0.0,Safe,0
7561,0.01,Safe,0
7635,0.02,Safe,0
12845,0.0,Safe,0
3874,0.07,Safe,0
7672,0.14,Safe,0
11028,0.01,Safe,0
3465,0.08,Safe,0
9088,0.03,Safe,0
12485,0.88,Medium-Risk,1
268,1.0,High-Risk,1
4627,0.09,Safe,0
8347,0.01,Safe,0
9568,0.13,Safe,0
1711,1.0,High-Risk,1
3526,0.02,Safe,0
7011,0.01,Safe,0
10426,0.16,Safe,0
142,1.0,High-Risk,1
6492,0.0,Safe,0
258,0.96,High-Risk,1
3950,0.01,Safe,0
7438,0.0,Safe,0
7473,0.14,Safe,0
3005,0.06,Safe,0
13856,0.0,Safe,0
3235,0.0,Safe,0
782,0.87,Medium-Risk,1
285,1.0,High-Risk,1
13912,0.0,Safe,0
3622,0.02,Safe,0
4206,0.01,Safe,0
13142,0.0,Safe,0
11728,0.02,Safe,0
12860,0.0,Safe,0
12703,1.0,High-Risk,1
10804,0.0,Safe,0
3143,0.0,Safe,0
5574,0.03,Safe,0
12424,1.0,High-Risk,1
480,1.0,High-Risk,1
7201,0.1,Safe,0
760,1.0,High-Risk,1
12063,1.0,High-Risk,1
7971,0.0,Safe,0
8354,0.01,Safe,0
7353,0.0,Safe,0
10749,0.0,Safe,0
5886,0.0,Safe,0
11099,0.04,Safe,0
6193,0.04,Safe,0
8131,0.0,Safe,0
10714,0.04,Safe,0
13923,0.0,Safe,0
8173,0.0,Safe,0
7255,0.09,Safe,0
4920,0.0,Safe,0
3274,0.02,Safe,0
5425,0.01,Safe,0
12461,1.0,High-Risk,1
2191,0.0,Safe,0
13919,0.03,Safe,0
1040,1.0,High-Risk,1
10120,0.01,Safe,0
10779,0.0,Safe,0
1159,0.99,High-Risk,1
6309,0.0,Safe,0
10894,0.06,Safe,0
266,1.0,High-Risk,1
14625,1.0,High-Risk,1
7907,0.03,Safe,0
552,1.0,High-Risk,1
6262,0.0,Safe,0
5631,0.03,Safe,0
3427,0.0,Safe,0
868,0.98,High-Risk,1
8026,0.0,Safe,0
8085,0.1,Safe,0
12033,1.0,High-Risk,1
5925,0.0,Safe,0
3730,0.02,Safe,0
1556,1.0,High-Risk,1
7622,0.0,Safe,0
3870,0.07,Safe,0
165,1.0,High-Risk,1
9746,0.06,Safe,0
4495,0.0,Safe,0
11139,0.03,Safe,0
9828,0.35,Low-Risk,0
3157,0.0,Safe,0
5358,0.01,Safe,0
2933,0.01,Safe,0
5185,0.0,Safe,0
4941,0.02,Safe,0
12550,1.0,High-Risk,1
8830,0.03,Safe,0
8034,0.0,Safe,0
7443,0.95,High-Risk,0
5622,0.03,Safe,0
2268,0.08,Safe,0
3142,0.0,Safe,0
11123,0.0,Safe,0
12272,1.0,High-Risk,1
10711,0.01,Safe,0
7571,0.0,Safe,0
6057,0.01,Safe,0
13487,0.01,Safe,0
14887,1.0,High-Risk,1
14994,1.0,High-Risk,1
7940,0.0,Safe,0
14324,1.0,High-Risk,1
9892,0.0,Safe,0
3343,0.01,Safe,0
13055,0.01,Safe,0
1479,1.0,High-Risk,1
13853,0.0,Safe,0
6820,0.0,Safe,0
9677,0.02,Safe,0
5797,0.19,Safe,0
11697,0.02,Safe,0
14828,1.0,High-Risk,1
6833,0.0,Safe,0
7257,0.08,Safe,0
10072,0.03,Safe,0
4624,0.13,Safe,0
13759,0.0,Safe,0
7290,0.21,Low-Risk,0
14512,0.94,High-Risk,1
7211,0.0,Safe,0
12704,0.6,Low-Risk,1
7517,0.18,Safe,0
2436,0.0,Safe,0
14479,1.0,High-Risk,1
8416,0.14,Safe,0
5592,0.05,Safe,0
2274,0.01,Safe,0
14411,1.0,High-Risk,1
14312,1.0,High-Risk,1
14399,1.0,High-Risk,1
14713,1.0,High-Risk,1
8040,0.04,Safe,0
13537,0.01,Safe,0
2266,0.0,Safe,0
3609,0.0,Safe,0
4842,0.26,Low-Risk,0
5675,0.0,Safe,0
5387,0.02,Safe,0
1942,1.0,High-Risk,1
6976,0.0,Safe,0
3101,0.0,Safe,0
7687,0.04,Safe,0
6202,0.01,Safe,0
1119,1.0,High-Risk,1
4170,0.16,Safe,0
4924,0.01,Safe,0
8275,0.02,Safe,0
2894,0.0,Safe,0
9661,0.02,Safe,0
5199,0.16,Safe,0
2291,0.03,Safe,0
11325,0.01,Safe,0
227,1.0,High-Risk,1
12851,0.04,Safe,0
14702,1.0,High-Risk,1
6636,0.04,Safe,0
7818,0.23,Low-Risk,0
7418,0.04,Safe,0
10019,0.05,Safe,0
14515,1.0,High-Risk,1
9133,0.12,Safe,0
11288,0.01,Safe,0
129,1.0,High-Risk,1
9122,0.04,Safe,0
5914,0.0,Safe,0
9544,0.05,Safe,0
11218,0.0,Safe,0
12946,0.0,Safe,0
13416,0.0,Safe,0
11107,0.0,Safe,0
12393,1.0,High-Risk,1
14775,1.0,High-Risk,1
10792,0.0,Safe,0
1127,1.0,High-Risk,1
8563,0.1,Safe,0
10980,0.0,Safe,0
11858,0.01,Safe,0
7169,0.15,Safe,0
14983,0.97,High-Risk,1
12638,0.99,High-Risk,1
9448,0.13,Safe,0
2109,0.0,Safe,0
3731,0.0,Safe,0
5273,0.11,Safe,0
3192,0.04,Safe,0
1011,1.0,High-Risk,1
8115,0.05,Safe,0
14820,1.0,High-Risk,1
5572,0.0,Safe,0
4902,0.05,Safe,0
9333,0.01,Safe,0
1183,0.99,High-Risk,1
8628,0.06,Safe,0
4105,0.0,Safe,0
13362,0.0,Safe,0
7429,0.01,Safe,0
2710,0.03,Safe,0
13326,0.01,Safe,0
7061,0.02,Safe,0
11630,0.01,Safe,0
10897,0.01,Safe,0
10523,0.02,Safe,0
10458,0.07,Safe,0
13983,0.0,Safe,0
9527,0.04,Safe,0
5573,0.06,Safe,0
11994,0.0,Safe,0
7965,0.0,Safe,0
921,1.0,High-Risk,1
2458,0.01,Safe,0
12496,1.0,High-Risk,1
951,1.0,High-Risk,1
4947,0.02,Safe,0
3689,0.01,Safe,0
554,1.0,High-Risk,1
514,0.98,High-Risk,1
4161,0.13,Safe,0
11054,0.0,Safe,0
1260,1.0,High-Risk,1
5796,0.02,Safe,0
4927,0.0,Safe,0
8917,0.01,Safe,0
9554,0.0,Safe,0
11915,0.02,Safe,0
3911,0.0,Safe,0
736,1.0,High-Risk,1
14855,0.88,Medium-Risk,1
9038,0.01,Safe,0
9279,0.01,Safe,0
12111,0.98,High-Risk,1
128,1.0,High-Risk,1
13615,0.01,Safe,0
7015,0.01,Safe,0
9224,0.0,Safe,0
8224,0.19,Safe,0
14513,1.0,High-Risk,1
13276,0.13,Safe,0
12095,1.0,High-Risk,1
10929,0.03,Safe,0
3104,0.02,Safe,0
11531,0.01,Safe,0
10435,0.01,Safe,0
12078,1.0,High-Risk,1
1296,1.0,High-Risk,1
2672,0.01,Safe,0
6071,0.06,Safe,0
2049,0.0,Safe,0
1227,1.0,High-Risk,1
5412,0.05,Safe,0
10195,0.0,Safe,0
6021,0.0,Safe,0
14404,1.0,High-Risk,1
3789,0.0,Safe,0
5258,0.0,Safe,0
6390,0.0,Safe,0
14554,1.0,High-Risk,1
14725,0.98,High-Risk,1
8640,0.14,Safe,0
3524,0.0,Safe,0
6092,0.03,Safe,0
8370,0.11,Safe,0
14090,0.0,Safe,0
3826,0.0,Safe,0
14988,0.99,High-Risk,1
6823,0.09,Safe,0
8443,0.17,Safe,0
14227,1.0,High-Risk,1
12370,1.0,High-Risk,1
10298,0.0,Safe,0
1010,1.0,High-Risk,1
8013,0.0,Safe,0
766,0.75,Medium-Risk,1
9414,0.01,Safe,0
97,1.0,High-Risk,1
9518,0.01,Safe,0
10245,0.0,Safe,0
12764,0.99,High-Risk,1
3241,0.27,Low-Risk,0
14589,0.69,Medium-Risk,1
8653,0.03,Safe,0
6392,0.0,Safe,0
9984,0.01,Safe,0
8773,0.0,Safe,0
14199,0.0,Safe,0
13790,0.07,Safe,0
4626,0.02,Safe,0
5560,0.09,Safe,0
3354,0.0,Safe,0
12217,1.0,High-Risk,1
6883,0.79,Medium-Risk,0
8736,0.06,Safe,0
7525,0.02,Safe,0
6638,0.01,Safe,0
13642,0.02,Safe,0
7919,0.02,Safe,0
5623,0.09,Safe,0
11366,0.01,Safe,0
13083,0.01,Safe,0
3327,0.01,Safe,0
4021,0.01,Safe,0
14632,1.0,High-Risk,1
12179,1.0,High-Risk,1
717,1.0,High-Risk,1
2259,0.0,Safe,0
4023,0.11,Safe,0
5875,0.21,Low-Risk,0
11690,0.01,Safe,0
10181,0.09,Safe,0
8783,0.01,Safe,0
2695,0.06,Safe,0
2764,0.0,Safe,0
13788,0.0,Safe,0
2951,0.06,Safe,0
12433,1.0,High-Risk,1
11840,0.02,Safe,0
6269,0.04,Safe,0
11397,0.0,Safe,0
3269,0.0,Safe,0
5035,0.03,Safe,0
10187,0.0,Safe,0
11515,0.01,Safe,0
10673,0.01,Safe,0
7341,0.0,Safe,0
750,1.0,High-Risk,1
3923,0.0,Safe,0
559,1.0,High-Risk,1
9244,0.02,Safe,0
11612,0.06,Safe,0
13421,0.0,Safe,0
8155,0.01,Safe,0
8781,0.03,Safe,0
10108,0.05,Safe,0
11822,0.0,Safe,0
5313,0.03,Safe,0
11912,0.02,Safe,0
11453,0.0,Safe,0
685,0.97,High-Risk,1
9841,0.02,Safe,0
435,1.0,High-Risk,1
720,1.0,High-Risk,1
7016,0.07,Safe,0
11991,0.04,Safe,0
2183,0.1,Safe,0
4165,0.0,Safe,0
11512,0.0,Safe,0
1028,0.96,High-Risk,1
1830,0.99,High-Risk,1
3514,0.07,Safe,0
6486,0.01,Safe,0
4349,0.0,Safe,0
5971,0.03,Safe,0
11471,0.01,Safe,0
5565,0.58,Low-Risk,0
10943,0.01,Safe,0
6756,0.0,Safe,0
7664,0.22,Low-Risk,0
13085,0.0,Safe,0
8572,0.0,Safe,0
9853,0.01,Safe,0
12696,0.96,High-Risk,1
3782,0.12,Safe,0
12074,0.99,High-Risk,1
3876,0.0,Safe,0
2522,0.0,Safe,0
5243,0.0,Safe,0
5048,0.0,Safe,0
2205,0.03,Safe,0
9894,0.0,Safe,0
12115,1.0,High-Risk,1
14821,1.0,High-Risk,1
1943,1.0,High-Risk,1
2636,0.02,Safe,0
13770,0.01,Safe,0
14058,0.0,Safe,0
3759,0.03,Safe,0
6386,0.0,Safe,0
3663,0.01,Safe,0
7957,0.01,Safe,0
3960,0.0,Safe,0
80,1.0,High-Risk,1
1030,1.0,High-Risk,1
13438,0.04,Safe,0
6773,0.02,Safe,0
13465,0.04,Safe,0
11733,0.0,Safe,0
6507,0.0,Safe,0
580,1.0,High-Risk,1
7448,0.0,Safe,0
9781,1.0,High-Risk,0
10946,0.0,Safe,0
4817,0.29,Low-Risk,0
4103,0.04,Safe,0
3924,0.02,Safe,0
13463,0.01,Safe,0
10121,0.0,Safe,0
14172,0.15,Safe,0
10206,0.14,Safe,0
6382,0.19,Safe,0
2022,0.05,Safe,0
14253,1.0,High-Risk,1
1466,0.99,High-Risk,1
6288,0.03,Safe,0
14124,0.0,Safe,0
5064,0.06,Safe,0
11199,0.02,Safe,0
11986,0.05,Safe,0
11549,0.02,Safe,0
8934,0.07,Safe,0
12256,1.0,High-Risk,1
5052,0.01,Safe,0
10699,0.06,Safe,0
13498,0.0,Safe,0
13674,0.0,Safe,0
14234,1.0,High-Risk,1
1367,1.0,High-Risk,1
10075,0.0,Safe,0
4621,0.18,Safe,0
9674,0.0,Safe,0
6815,0.0,Safe,0
9454,0.08,Safe,0
7762,0.98,High-Risk,0
7250,0.03,Safe,0
9587,0.01,Safe,0
12756,1.0,High-Risk,1
10564,0.0,Safe,0
1439,0.68,Medium-Risk,1
29,1.0,High-Risk,1
11658,0.06,Safe,0
2359,0.0,Safe,0
368,1.0,High-Risk,1
13357,0.0,Safe,0
12181,1.0,High-Risk,1
5470,0.0,Safe,0
13914,0.0,Safe,0
148,0.91,High-Risk,1
5634,0.06,Safe,0
2899,0.01,Safe,0
507,1.0,High-Risk,1
12364,1.0,High-Risk,1
14502,1.0,High-Risk,1
3431,0.0,Safe,0
13693,0.0,Safe,0
12599,1.0,High-Risk,1
13192,0.05,Safe,0
5751,0.07,Safe,0
3223,0.07,Safe,0
1713,0.02,Safe,1
9699,0.0,Safe,0
2624,0.01,Safe,0
14851,1.0,High-Risk,1
2107,0.0,Safe,0
13096,0.0,Safe,0
12986,0.0,Safe,0
9616,0.0,Safe,0
7109,0.0,Safe,0
3372,0.0,Safe,0
1738,1.0,High-Risk,1
12954,0.0,Safe,0
1928,1.0,High-Risk,1
3575,0.02,Safe,0
14794,1.0,High-Risk,1
8747,0.18,Safe,0
2675,0.0,Safe,0
3602,0.01,Safe,0
9731,0.02,Safe,0
11172,0.0,Safe,0
7905,0.09,Safe,0
9071,0.0,Safe,0
9595,0.01,Safe,0
6822,0.0,Safe,0
12120,0.88,Medium-Risk,1
191,0.95,High-Risk,1
3026,0.03,Safe,0
14218,0.96,High-Risk,1
14433,1.0,High-Risk,1
8641,0.04,Safe,0
8770,0.0,Safe,0
6501,0.12,Safe,0
10425,0.02,Safe,0
6484,0.01,Safe,0
3307,0.1,Safe,0
3305,0.08,Safe,0
7399,0.0,Safe,0
5261,0.05,Safe,0
3857,0.01,Safe,0
10113,0.02,Safe,0
6252,0.03,Safe,0
4072,0.0,Safe,0
9207,0.0,Safe,0
108,0.94,High-Risk,1
1679,1.0,High-Risk,1
14445,0.69,Medium-Risk,1
4535,0.0,Safe,0
10450,0.0,Safe,0
7895,0.21,Low-Risk,0
10136,0.07,Safe,0
2676,0.01,Safe,0
1438,0.99,High-Risk,1
9477,0.07,Safe,0
12417,1.0,High-Risk,1
10652,0.23,Low-Risk,0
6904,0.02,Safe,0
9640,0.0,Safe,0
3990,0.01,Safe,0
14841,1.0,High-Risk,1
4303,0.01,Safe,0
9301,0.0,Safe,0
4770,0.06,Safe,0
9020,0.08,Safe,0
1809,0.95,High-Risk,1
12386,1.0,High-Risk,1
9174,0.0,Safe,0
9028,0.03,Safe,0
8309,0.0,Safe,0
4553,0.04,Safe,0
14766,1.0,High-Risk,1
5458,0.21,Low-Risk,0
12754,0.93,High-Risk,1
13277,0.03,Safe,0
6482,0.0,Safe,0
3329,0.0,Safe,0
747,1.0,High-Risk,1
4747,0.07,Safe,0
7037,0.2,Safe,0
11493,0.0,Safe,0
2496,0.02,Safe,0
10515,0.01,Safe,0
1582,0.99,High-Risk,1
10322,0.0,Safe,0
5384,0.37,Low-Risk,0
6360,0.01,Safe,0
10866,0.04,Safe,0
14300,1.0,High-Risk,1
1603,1.0,High-Risk,1
5840,0.46,Low-Risk,0
4856,0.15,Safe,0
5380,0.01,Safe,0
2143,0.03,Safe,0
12135,0.86,Medium-Risk,1
11018,0.01,Safe,0
13813,0.0,Safe,0
9629,0.0,Safe,0
9322,0.0,Safe,0
14644,1.0,High-Risk,1
5711,0.0,Safe,0
5072,0.07,Safe,0
2172,0.0,Safe,0
10708,0.0,Safe,0
4599,0.08,Safe,0
9524,0.04,Safe,0
291,1.0,High-Risk,1
12021,1.0,High-Risk,1
3118,0.02,Safe,0
12435,1.0,High-Risk,1
5491,0.08,Safe,0
9285,0.04,Safe,0
12923,0.0,Safe,0
11420,0.0,Safe,0
5452,0.08,Safe,0
4945,0.09,Safe,0
4076,0.4,Low-Risk,0
7863,0.0,Safe,0
10091,0.08,Safe,0
3669,0.04,Safe,0
13097,0.01,Safe,0
12193,1.0,High-Risk,1
14904,1.0,High-Risk,1
9172,0.04,Safe,0
10811,0.0,Safe,0
3023,0.0,Safe,0
12990,0.0,Safe,0
7530,0.0,Safe,0
7359,0.0,Safe,0
3543,0.01,Safe,0
4309,0.01,Safe,0
4212,0.07,Safe,0
1078,0.99,High-Risk,1
8027,0.02,Safe,0
1932,1.0,High-Risk,1
13365,0.09,Safe,0
5342,0.19,Safe,0
13389,0.01,Safe,0
7594,0.01,Safe,0
11723,0.0,Safe,0
3158,0.0,Safe,0
8948,0.08,Safe,0
13363,0.01,Safe,0
378,0.69,Medium-Risk,1
14563,1.0,High-Risk,1
9799,0.01,Safe,0
550,1.0,High-Risk,1
11221,0.01,Safe,0
3374,0.02,Safe,0
2087,0.05,Safe,0
1312,0.97,High-Risk,1
1513,0.94,High-Risk,1
5135,0.03,Safe,0
10325,0.0,Safe,0
1551,0.91,High-Risk,1
12425,1.0,High-Risk,1
7773,0.11,Safe,0
9229,0.0,Safe,0
13659,0.01,Safe,0
2781,0.01,Safe,0
4462,0.01,Safe,0
10048,0.0,Safe,0
7306,0.02,Safe,0
2051,0.0,Safe,0
9060,0.3,Low-Risk,0
8862,0.15,Safe,0
6310,0.01,Safe,0
6563,0.01,Safe,0
2346,0.01,Safe,0
13802,0.01,Safe,0
8706,0.0,Safe,0
11823,0.01,Safe,0
5839,0.1,Safe,0
10214,0.19,Safe,0
12799,0.0,Safe,0
6451,0.0,Safe,0
14446,1.0,High-Risk,1
4344,0.02,Safe,0
11871,0.01,Safe,0
5318,0.0,Safe,0
13067,0.01,Safe,0
6862,0.0,Safe,0
10263,0.0,Safe,0
6104,0.32,Low-Risk,0
1468,0.99,High-Risk,1
11952,0.0,Safe,0
4104,0.05,Safe,0
11146,0.0,Safe,0
13931,0.17,Safe,0
3267,0.0,Safe,0
13723,0.0,Safe,0
6959,0.03,Safe,0
14493,1.0,High-Risk,1
6562,0.0,Safe,0
8701,0.0,Safe,0
10582,0.0,Safe,0
10994,0.0,Safe,0
12105,0.97,High-Risk,1
12017,1.0,High-Risk,1
14734,0.98,High-Risk,1
9095,0.01,Safe,0
7060,0.0,Safe,0
3190,0.01,Safe,0
2201,0.04,Safe,0
9187,0.0,Safe,0
14213,1.0,High-Risk,1
6494,0.0,Safe,0
3460,0.0,Safe,0
10415,0.0,Safe,0
13327,0.03,Safe,0
1891,1.0,High-Risk,1
5082,0.02,Safe,0
1871,0.99,High-Risk,1
10005,0.01,Safe,0
4915,0.13,Safe,0
7859,0.0,Safe,0
13861,0.0,Safe,0
9969,0.0,Safe,0
9938,0.0,Safe,0
8452,0.04,Safe,0
8711,0.14,Safe,0
14916,1.0,High-Risk,1
5426,0.0,Safe,0
181,1.0,High-Risk,1
6988,0.11,Safe,0
11659,0.03,Safe,0
2810,0.01,Safe,0
4843,0.13,Safe,0
9719,0.02,Safe,0
7497,0.01,Safe,0
1976,0.93,High-Risk,1
14885,1.0,High-Risk,1
3937,0.02,Safe,0
2705,0.01,Safe,0
876,0.99,High-Risk,1
131,1.0,High-Risk,1
5109,0.0,Safe,0
11343,0.05,Safe,0
2725,0.17,Safe,0
6436,0.27,Low-Risk,0
6195,0.01,Safe,0
882,1.0,High-Risk,1
9182,0.02,Safe,0
6765,0.15,Safe,0
3403,0.0,Safe,0
14673,0.98,High-Risk,1
11059,0.0,Safe,0
4880,0.0,Safe,0
5161,0.0,Safe,0
6052,0.0,Safe,0
6799,0.0,Safe,0
8980,0.11,Safe,0
8217,0.0,Safe,0
9002,0.0,Safe,0
14762,1.0,High-Risk,1
1673,0.99,High-Risk,1
9820,0.07,Safe,0
13574,0.03,Safe,0
7297,0.01,Safe,0
9915,0.07,Safe,0
6985,0.03,Safe,0
9502,0.07,Safe,0
1355,0.97,High-Risk,1
9864,0.0,Safe,0
11981,0.0,Safe,0
8688,0.01,Safe,0
12832,0.05,Safe,0
8227,0.0,Safe,0
6928,0.14,Safe,0
2454,0.03,Safe,0
13353,0.06,Safe,0
6224,0.0,Safe,0
6557,0.01,Safe,0
317,1.0,High-Risk,1
1203,0.23,Low-Risk,1
13597,0.0,Safe,0
13025,0.02,Safe,0
6266,0.0,Safe,0
13810,0.03,Safe,0
4172,0.0,Safe,0
709,1.0,High-Risk,1
4113,0.0,Safe,0
4065,0.04,Safe,0
8318,0.03,Safe,0
8086,0.12,Safe,0
281,0.98,High-Risk,1
8359,0.11,Safe,0
7845,0.09,Safe,0
2416,0.02,Safe,0
3128,0.45,Low-Risk,0
834,0.99,High-Risk,1
11885,0.0,Safe,0
2324,0.08,Safe,0
5823,0.01,Safe,0
3487,0.18,Safe,0
3862,0.0,Safe,0
11154,0.09,Safe,0
8560,0.08,Safe,0
6879,0.29,Low-Risk,0
1553,0.69,Medium-Risk,1
14712,0.68,Medium-Risk,1
8957,0.32,Low-Risk,0
4944,0.09,Safe,0
2241,0.06,Safe,0
8875,0.0,Safe,0
12811,0.01,Safe,0
1859,0.99,High-Risk,1
5196,0.0,Safe,0
14784,1.0,High-Risk,1
11061,0.0,Safe,0
11390,0.01,Safe,0
9913,0.71,Medium-Risk,0
8364,0.0,Safe,0
8296,0.19,Safe,0
9326,0.34,Low-Risk,0
13819,0.01,Safe,0
14406,1.0,High-Risk,1
7982,0.09,Safe,0
4184,0.03,Safe,0
620,0.68,Medium-Risk,1
11573,0.05,Safe,0
7189,0.23,Low-Risk,0
14157,0.01,Safe,0
9794,0.11,Safe,0
303,1.0,High-Risk,1
2538,0.04,Safe,0
4757,0.03,Safe,0
10713,0.03,Safe,0
1971,0.95,High-Risk,1
1015,1.0,High-Risk,1
8070,0.0,Safe,0
1378,0.99,High-Risk,1
2482,0.04,Safe,0
10313,0.05,Safe,0
9688,0.02,Safe,0
7912,0.11,Safe,0
6580,0.0,Safe,0
8802,0.0,Safe,0
10942,0.02,Safe,0
14039,0.04,Safe,0
84,1.0,High-Risk,1
2622,0.13,Safe,0
7880,0.0,Safe,0
14410,1.0,High-Risk,1
7388,0.0,Safe,0
9030,0.02,Safe,0
957,0.96,High-Risk,1
7650,0.0,Safe,0
4512,0.01,Safe,0
3359,0.01,Safe,0
8613,0.1,Safe,0
12247,1.0,High-Risk,1
9686,0.0,Safe,0
13612,0.0,Safe,0
3787,0.0,Safe,0
4459,0.23,Low-Risk,0
9406,0.0,Safe,0
8033,0.11,Safe,0
11559,0.01,Safe,0
5959,0.07,Safe,0
8043,0.14,Safe,0
14001,0.0,Safe,0
2652,0.01,Safe,0
5092,0.08,Safe,0
12536,1.0,High-Risk,1
12236,1.0,High-Risk,1
6234,0.0,Safe,0
6131,0.05,Safe,0
6692,0.09,Safe,0
10232,0.26,Low-Risk,0
8368,0.08,Safe,0
12463,0.98,High-Risk,1
6598,0.0,Safe,0
9790,0.01,Safe,0
946,1.0,High-Risk,1
12206,1.0,High-Risk,1
7059,0.0,Safe,0
6758,0.04,Safe,0
13749,0.05,Safe,0
1349,0.94,High-Risk,1
12669,0.66,Medium-Risk,1
12828,0.0,Safe,0
8484,0.04,Safe,0
13280,0.12,Safe,0
2272,0.0,Safe,0
12671,1.0,High-Risk,1
7875,0.0,Safe,0
12234,0.69,Medium-Risk,1
7048,0.12,Safe,0
8312,0.0,Safe,0
14671,1.0,High-Risk,1
13988,0.06,Safe,0
5370,0.0,Safe,0
8671,0.0,Safe,0
702,1.0,High-Risk,1
11402,0.0,Safe,0
11819,0.0,Safe,0
11582,0.14,Safe,0
11727,0.0,Safe,0
1573,0.96,High-Risk,1
2529,0.01,Safe,0
14197,0.05,Safe,0
810,1.0,High-Risk,1
13771,0.03,Safe,0
4643,0.0,Safe,0
8801,0.0,Safe,0
12357,1.0,High-Risk,1
6435,0.0,Safe,0
12242,1.0,High-Risk,1
10605,0.0,Safe,0
11754,0.02,Safe,0
12698,1.0,High-Risk,1
12984,0.0,Safe,0
12525,1.0,High-Risk,1
3393,0.0,Safe,0
10828,0.12,Safe,0
13071,0.0,Safe,0
8601,0.04,Safe,0
2194,0.01,Safe,0
12410,0.73,Medium-Risk,1
9325,0.04,Safe,0
6166,0.01,Safe,0
13583,0.0,Safe,0
12271,1.0,High-Risk,1
14313,1.0,High-Risk,1
14243,1.0,High-Risk,1
11878,0.0,Safe,0
6493,0.0,Safe,0
1727,1.0,High-Risk,1
9103,0.0,Safe,0
2932,0.03,Safe,0
9654,0.0,Safe,0
3095,0.04,Safe,0
5427,0.0,Safe,0
4145,0.15,Safe,0
12829,0.0,Safe,0
4914,0.02,Safe,0
10759,0.0,Safe,0
10025,0.09,Safe,0
135,0.86,Medium-Risk,1
773,1.0,High-Risk,1
13202,0.05,Safe,0
2544,0.03,Safe,0
5315,0.02,Safe,0
4127,0.04,Safe,0
6461,0.02,Safe,0
13323,0.12,Safe,0
8289,0.01,Safe,0
9475,0.0,Safe,0
5267,0.14,Safe,0
13387,0.02,Safe,0
14508,1.0,High-Risk,1
13250,0.07,Safe,0
593,1.0,High-Risk,1
7204,0.01,Safe,0
9638,0.06,Safe,0
9600,0.0,Safe,0
11611,0.01,Safe,0
377,1.0,High-Risk,1
2456,0.0,Safe,0
13089,0.13,Safe,0
7908,0.0,Safe,0
2321,0.05,Safe,0
1612,0.13,Safe,1
6102,0.0,Safe,0
10312,0.05,Safe,0
3297,0.02,Safe,0
8520,0.14,Safe,0
3387,0.0,Safe,0
7314,0.0,Safe,0
1079,0.8,Medium-Risk,1
4819,0.02,Safe,0
12951,0.01,Safe,0
11876,0.05,Safe,0
12912,0.02,Safe,0
10092,0.0,Safe,0
5512,0.01,Safe,0
5956,0.04,Safe,0
8213,0.09,Safe,0
13427,0.01,Safe,0
2942,0.24,Low-Risk,0
11100,0.01,Safe,0
670,1.0,High-Risk,1
316,1.0,High-Risk,1
989,1.0,High-Risk,1
6413,0.02,Safe,0
5093,0.0,Safe,0
13793,0.14,Safe,0
6470,0.12,Safe,0
11268,0.01,Safe,0
1390,0.96,High-Risk,1
7700,0.09,Safe,0
13542,0.0,Safe,0
3231,0.01,Safe,0
6674,0.02,Safe,0
9832,0.0,Safe,0
4741,0.02,Safe,0
14503,1.0,High-Risk,1
8483,0.05,Safe,0
5741,0.0,Safe,0
4387,0.03,Safe,0
9075,0.02,Safe,0
2180,0.17,Safe,0
5939,0.03,Safe,0
12371,1.0,High-Risk,1
6727,0.02,Safe,0
5963,0.01,Safe,0
8244,0.06,Safe,0
7373,0.07,Safe,0
7036,0.02,Safe,0
3844,0.01,Safe,0
2158,0.02,Safe,0
6398,0.11,Safe,0
5595,0.0,Safe,0
8895,0.13,Safe,0
4094,0.36,Low-Risk,0
8621,0.0,Safe,0
9261,0.04,Safe,0
8570,0.0,Safe,0
8447,0.02,Safe,0
7494,0.02,Safe,0
8546,0.02,Safe,0
8591,0.16,Safe,0
4020,0.02,Safe,0
1372,0.98,High-Risk,1
324,1.0,High-Risk,1
6321,0.01,Safe,0
9143,0.04,Safe,0
7810,0.01,Safe,0
5707,0.18,Safe,0
2342,0.06,Safe,0
5017,0.1,Safe,0
5349,0.0,Safe,0
14103,0.03,Safe,0
9739,0.01,Safe,0
1235,1.0,High-Risk,1
2801,0.03,Safe,0
13052,0.01,Safe,0
11479,0.01,Safe,0
13105,0.06,Safe,0
10244,0.04,Safe,0
4080,0.03,Safe,0
3557,0.09,Safe,0
5620,0.0,Safe,0
13413,0.0,Safe,0
1377,0.98,High-Risk,1
2588,0.07,Safe,0
7921,0.0,Safe,0
5188,0.03,Safe,0
2070,0.0,Safe,0
7347,0.16,Safe,0
10974,0.07,Safe,0
7805,0.22,Low-Risk,0
5111,0.01,Safe,0
2455,0.04,Safe,0
6033,0.18,Safe,0
6669,0.06,Safe,0
11178,0.01,Safe,0
9420,0.11,Safe,0
7985,0.0,Safe,0
403,0.99,High-Risk,1
684,0.69,Medium-Risk,1
13115,0.0,Safe,0
3092,0.0,Safe,0
11406,0.04,Safe,0
801,1.0,High-Risk,1
